unique_id,strategy,zone,land_size,last_crop,last_yield,last_cost,last_water,last_profit,mean_yield,mean_profit,goal,n_obs
43,INDIVIDUAL,IRRIGATED_SOUSS,1.6426225862069348,tomatoes,39.824764687235565,15157.334324515305,450.0,88869.02579988778,30.24182165966337,61493.57677528288,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
44,SHARED,SAHARAN,7.562141181553143,watermelon,8.624265860304076,9551.82917668512,300.0,162188.30093474683,17.027422006705027,407266.7923857567,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
45,INDIVIDUAL,SAHARAN,7.562141181553143,date_palms,1.3167049423834614,7965.531624540641,300.0,204164.588859152,2.2055981006014087,382658.86565993156,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
46,SHARED,ARID,3.429530441058502,almonds,0.4318670256916695,5500.054796518072,450.0,16679.378010893543,0.47147419203828933,19938.986093020758,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
47,INDIVIDUAL,ARID,3.429530441058502,almonds,0.6569373310853066,6905.7869562737915,450.0,16627.955704046784,0.4750524794812621,5466.978578663588,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
48,SHARED,IRRIGATED_SOUSS,6.0125476939718165,tomatoes,29.05767140297367,9512.24422566867,450.0,350309.25185001973,29.420472804782197,355397.1448753311,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
49,INDIVIDUAL,IRRIGATED_SOUSS,6.0125476939718165,tomatoes,29.792754073364478,12047.002273060496,450.0,239092.42429804214,29.201351546400993,232908.4700848679,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
50,SHARED,SUB_HUMID,3.0614326476769396,durum_wheat,1.549904977948098,4058.3850881249223,450.0,11040.723139793967,1.2412377363229923,8192.005664621453,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
51,INDIVIDUAL,SUB_HUMID,3.0614326476769396,soft_wheat,1.160239225685574,6034.117296195073,450.0,-5375.775312262341,1.0899769358064686,-6168.925592861817,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
52,SHARED,SEMI_ARID_COOL,4.61048308320096,almonds,0.5437950187201713,4318.154411541426,450.0,40255.48629065422,0.47041303753262104,30706.27516499004,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
53,INDIVIDUAL,SEMI_ARID_COOL,4.61048308320096,almonds,0.48908024663669314,7789.333421308516,450.0,4433.140351806845,0.487484373060332,4301.491843449142,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
54,SHARED,SAHARAN,8.88730863825402,watermelon,10.143728656970863,7645.791048361763,300.0,256088.06601550637,16.993294794228323,480386.0776925448,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",60
55,INDIVIDUAL,SAHARAN,8.88730863825402,cumin,0.2525722405050127,6395.994176955645,300.0,9936.277481914978,0.3589327715542805,38057.728756227385,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
56,SHARED,IRRIGATED_SOUSS,5.493081335430496,tomatoes,31.12717302184863,11710.033510977122,450.0,334485.9717127798,29.397657335602567,312326.92792755703,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",60
57,INDIVIDUAL,IRRIGATED_SOUSS,5.493081335430496,avocados,4.995383327817886,8192.84435786533,450.0,328180.6777041796,5.420901763318968,359969.4180168627,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
58,SHARED,IRRIGATED_SOUSS,5.129666673286589,green_beans,6.998949373433983,9072.30479968037,450.0,210289.04143471204,7.920816399310252,244117.01698452263,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",90
59,INDIVIDUAL,IRRIGATED_SOUSS,5.129666673286589,green_beans,9.046795373462922,12201.2728691582,450.0,184935.11200561866,7.811389542067913,151133.96418368342,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
60,SHARED,SEMI_ARID_WARM,7.704900838824459,grapes,7.14818663449725,7238.73356748581,450.0,399618.3477271921,7.107105847312369,398462.190706049,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
61,INDIVIDUAL,SEMI_ARID_WARM,7.704900838824459,chickpeas,0.5194944059720854,5162.933621664402,450.0,12645.454958204793,0.5063878248068401,11322.789975132813,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
62,SHARED,IRRIGATED_SOUSS,6.261273912011864,tomatoes,34.81835192173064,8258.619444581302,450.0,456779.3249984612,30.62252051838947,395503.21133667056,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
63,INDIVIDUAL,IRRIGATED_SOUSS,6.261273912011864,green_beans,9.208232271596334,9976.670106641512,450.0,245052.10274816764,8.067019208437053,206940.07171617527,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
64,SHARED,ARID,4.257967993422499,almonds,0.5379214527909687,5727.786989809713,450.0,30575.250862284196,0.4944955363738167,26138.057688228186,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
65,INDIVIDUAL,ARID,4.257967993422499,almonds,0.557089326366189,5048.011625123342,450.0,20947.964084378676,0.47961015411190117,15045.15970562609,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
66,SHARED,SEMI_ARID_WARM,5.585736643088181,grapes,8.338860040799164,5992.94183839326,450.0,351657.06214167,6.997182937720269,289691.4145629997,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
67,INDIVIDUAL,SEMI_ARID_WARM,5.585736643088181,durum_wheat,1.4828714607750706,6060.445026074419,450.0,-3310.4040745177526,1.3949316085697556,-5121.638485009796,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
68,SHARED,SUB_HUMID,8.749926186999993,durum_wheat,1.2350512960620128,4159.490170275077,450.0,17046.901115230765,1.3698143212109628,22878.256903715297,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
69,INDIVIDUAL,SUB_HUMID,8.749926186999993,sunflower,0.7234780277972861,6322.762622305238,450.0,6055.335329658067,0.9424851414681878,24635.646297306514,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
70,SHARED,SEMI_ARID_WARM,8.128714279266678,grapes,8.703650434866923,6482.424083960376,450.0,532292.704811618,7.549881445717611,454746.01765198575,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
71,INDIVIDUAL,SEMI_ARID_WARM,8.128714279266678,olives,2.0798812469600216,8288.78945217308,450.0,92138.08311460602,1.8243849969372272,72542.94660497279,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
72,SHARED,SUB_HUMID,4.4629058050705,durum_wheat,1.5531376061166926,4772.213630244356,450.0,12980.57948467899,1.3214326794304219,7866.736517527506,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
73,INDIVIDUAL,SUB_HUMID,4.4629058050705,soft_wheat,1.2622248973919366,5100.512427053068,450.0,-1991.842002029711,1.0934393874769044,-4769.388602806016,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
74,SHARED,ARID,5.762029105892233,almonds,0.5598869632690981,4589.159811643672,450.0,50973.488819570965,0.5036233762856468,43193.84317763525,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
75,INDIVIDUAL,ARID,5.762029105892233,almonds,0.5963743521447057,5639.6029051259775,450.0,28988.913580847722,0.4745291501140504,16427.02589865177,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
76,SHARED,SUB_HUMID,7.122550692308667,durum_wheat,1.6448982226784135,4989.849665709496,450.0,22398.273857664357,1.3727131252224631,12811.018585857724,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
77,INDIVIDUAL,SUB_HUMID,7.122550692308667,fava_beans,0.9551350129762092,4724.6201946278825,450.0,23711.528485935512,0.759468568107609,11960.320824592422,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
78,SHARED,SAHARAN,7.757900196324488,watermelon,11.60655887787538,8625.19484030524,300.0,256737.25339369805,18.438588342957654,447249.4309249166,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
79,INDIVIDUAL,SAHARAN,7.757900196324488,cumin,0.13325210489988995,8519.08544728074,300.0,-35335.95787375,0.3486526930176156,14377.966005445689,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
80,SHARED,SEMI_ARID_COOL,2.003969562362888,durum_wheat,1.4881817704407947,4048.373650417046,450.0,6635.466706918964,1.2733804098888333,4952.149373108119,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",60
81,INDIVIDUAL,SEMI_ARID_COOL,2.003969562362888,almonds,0.4939318144876502,5514.237814052223,450.0,6660.06694446804,0.49407945692804844,6665.360815560279,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
82,SHARED,ARID,1.0292078449155637,almonds,0.4733239637910508,3627.340986812392,450.0,7956.820435265475,0.48113744668234726,8149.797059479872,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
83,INDIVIDUAL,ARID,1.0292078449155637,barley,0.7685098575323435,5328.818102440685,450.0,-2432.16074686278,0.7412469949571884,-2540.4410145743523,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
84,SHARED,IRRIGATED_SOUSS,3.3705014567598166,tomatoes,26.262999480462522,9605.558995727148,450.0,174090.82069637853,29.209216681110792,202578.09423348706,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
85,INDIVIDUAL,IRRIGATED_SOUSS,3.3705014567598166,green_beans,6.785818146175632,11518.13616016244,450.0,83169.55484778406,8.137329221123391,107466.22646064196,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
86,SHARED,SEMI_ARID_WARM,5.569135071438927,grapes,5.806773091881622,7030.461106337363,450.0,228236.3967486137,7.079222449919708,286973.53948430024,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",60
87,INDIVIDUAL,SEMI_ARID_WARM,5.569135071438927,grapes,9.059966633429681,7645.4132110287655,450.0,268486.5208630211,7.2884481206055565,207663.2110247812,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
88,SHARED,IRRIGATED_SOUSS,3.686003123037696,tomatoes,31.96837215196998,10911.357762439964,450.0,234624.98052494662,30.29217556393541,226415.01490616653,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
